Time (s),Current (mA),Torque (Nãƒ»m),Position (deg),Velocity (deg/s),Error (deg)
2.685e-05,-51.11,-0.152895,0,0,-0.88
0.0581873,80.7,0.0683001,-0.528,-9.07834,-0.352
0.122157,53.8,0.0231582,-2.112,-24.7617,1.232
0.186144,-147.95,-0.315405,-0.176,30.256,-0.704
0.250168,-51.11,-0.152895,3.696,60.4781,-4.576
0.314114,-51.11,-0.152895,2.904,-12.3853,-3.784
0.37811,118.36,0.131499,-0.792,-57.7541,-0.088
0.442182,53.8,0.0231582,-4.664,-60.4317,3.784
0.50618,53.8,0.0231582,-3.872,12.3754,2.992
0.570121,-115.67,-0.261235,0.352,66.0611,-1.232
0.634017,-48.42,-0.148381,5.72,84.0116,-6.6
0.698054,-53.8,-0.157409,5.808,1.37419,-6.688
0.762041,110.29,0.117956,2.64,-49.5105,-3.52
0.826005,51.11,0.0186441,-1.056,-57.782,0.176
0.890103,-88.77,-0.216093,-0.264,12.3562,-0.616
0.954068,-51.11,-0.152895,2.728,46.7756,-3.608
1.01801,-48.42,-0.148381,1.672,-16.5153,-2.552
1.082,64.56,0.041215,-2.112,-59.1304,1.232
1.14603,48.42,0.0141299,-6.248,-64.5993,5.368
1.21007,51.11,0.0186441,-5.632,9.61806,4.752
1.27405,-123.74,-0.274778,-1.232,68.7776,0.352
1.33805,-53.8,-0.157409,4.4,87.996,-5.28
1.40204,-53.8,-0.157409,4.752,5.50114,-5.632
